genotype,si
[000000000],0.0
[000000001],-0.9905847198816949
[000000010],1.0
[000000011],-0.9557299611764859
[000000100],0.8826935722339464
[000000101],-0.7798116776660906
[000000110],0.8231206329882093
[000000111],-0.9933611526516488
[000001000],1.0
[000001001],-0.997552984752061
[000001010],1.0
[000001011],-0.996930585344928
[000001100],1.0
[000001101],-0.9949813337232669
[000001110],-0.2462325149732386
[000001111],-0.9992659784047463
[000010000],0.7634479023222727
[000010001],-0.9921796946104003
[000010010],0.8698908019756327
[000010011],-0.9679908693234323
[000010100],0.7270662535606118
[000010101],-0.9489992290596057
[000010110],0.4359717506639635
[000010111],-0.9956065362578859
[000011000],1.0
[000011001],1.0
[000011010],-0.1546639927951142
[000011011],-0.9055417748293618
[000011100],0.7709313927099019
[000011101],-0.9426048693712655
[000011110],0.6545450504599722
[000011111],-0.9931663968798026
[000100000],0.8901644326870365
[000100001],-0.9729526333817354
[000100010],0.7252846377130919
[000100011],-0.978256469171256
[000100100],0.6860362838414732
[000100101],-0.9510625017116752
[000100110],1.0
[000100111],1.0
[000101000],1.0
[000101001],1.0
[000101010],0.6675775914549521
[000101011],-0.9152057109962682
[000101100],0.8112031879592171
[000101101],-0.6928791254671678
[000101110],0.6575013618472805
[000101111],1.0
[000110000],0.9064242851642664
[000110001],-0.9845354128632239
[000110010],0.8521517067782024
[000110011],1.0
[000110100],1.0
[000110101],1.0
[000110110],1.0
[000110111],1.0
[000111000],-0.8627103808450958
[000111001],1.0
[000111010],0.5317482690675263
[000111011],-0.961413001239105
[000111100],0.8989712795763024
[000111101],-0.7583190562995471
[000111110],0.36702404275004785
[000111111],-0.9945694342635399
[001000000],-0.9988029785933195
[001000001],-0.9999984617134077
[001000010],-0.9881369572534913
[001000011],-0.9999932128730946
[001000100],-0.9991084933292838
[001000101],-0.9999991271198683
[001000110],-0.9983765949532127
[001000111],-0.9999656339763621
[001001000],-0.9996686516812453
[001001001],-0.999884169662858
[001001010],-0.9994404684658881
[001001011],-0.9999993406333988
[001001100],-0.9998208421607506
[001001101],-0.9999988224320403
[001001110],-0.9997619185139305
[001001111],-0.9999988718648468
[001010000],-0.9960255247840738
[001010001],-0.9999973276172788
[001010010],-0.9830774755014163
[001010011],-0.9999835960520803
[001010100],-0.9984265269397934
[001010101],-0.9999986785699492
[001010110],-0.9944621076301657
[001010111],-0.9998987996445633
[001011000],-0.9989536779160595
[001011001],-0.9998955692449435
[001011010],-0.9992255797470802
[001011011],-0.9999989165706024
[001011100],-0.9998489749526335
[001011101],-0.999999185342954
[001011110],-0.9988109832738913
[001011111],-0.9999971817648431
[001100000],-0.5715266255632954
[001100001],-0.9996163667761717
[001100010],1.0
[001100011],-0.9991454341495939
[001100100],1.0
[001100101],-0.998943574621284
[001100110],1.0
[001100111],1.0
[001101000],1.0
[001101001],1.0
[001101010],1.0
[001101011],-0.9987781889713394
[001101100],1.0
[001101101],-0.9995965519603298
[001101110],1.0
[001101111],-0.9989624615828688
[001110000],1.0
[001110001],1.0
[001110010],1.0
[001110011],1.0
[001110100],1.0
[001110101],-0.9971678668245646
[001110110],1.0
[001110111],1.0
[001111000],1.0
[001111001],1.0
[001111010],1.0
[001111011],1.0
[001111100],1.0
[001111101],-0.9977213484318354
[001111110],1.0
[001111111],1.0
[010000000],-0.9986300531143172
[010000001],-0.9999983750447681
[010000010],-0.9896002948837734
[010000011],-0.9999917073193773
[010000100],-0.998638837890252
[010000101],-0.9999985080837747
[010000110],-0.9979758901206025
[010000111],-0.9999616798739128
[010001000],-0.9997273147811755
[010001001],-0.9999258147101812
[010001010],-0.9993034373680132
[010001011],-0.9999993818505517
[010001100],-0.9997777894690981
[010001101],-0.9999987082643247
[010001110],-0.9996292277583911
[010001111],-0.9999986976108411
[010010000],-0.9968057734284395
[010010001],-0.9999974648712019
[010010010],-0.9926592483599832
[010010011],-0.9999870976215881
[010010100],-0.9988146668240138
[010010101],-0.9999977769145478
[010010110],-0.9943515928900871
[010010111],-0.9998807622079684
[010011000],-0.9996279975886803
[010011001],-0.9999216201535438
[010011010],-0.9993727482699059
[010011011],-0.9999992858400468
[010011100],-0.9998690247796166
[010011101],-0.9999991451522791
[010011110],-0.9990617968217768
[010011111],-0.9999978087570411
[010100000],-0.3749076641044676
[010100001],-0.999640848705282
[010100010],1.0
[010100011],1.0
[010100100],1.0
[010100101],-0.9987369825401041
[010100110],-0.813041344687378
[010100111],-0.9980190182699867
[010101000],1.0
[010101001],-0.9972328228567127
[010101010],1.0
[010101011],-0.9993664506929374
[010101100],1.0
[010101101],-0.9992284586248962
[010101110],1.0
[010101111],-0.9989182112249559
[010110000],1.0
[010110001],-0.9982292505853588
[010110010],1.0
[010110011],1.0
[010110100],1.0
[010110101],1.0
[010110110],1.0
[010110111],1.0
[010111000],1.0
[010111001],1.0
[010111010],1.0
[010111011],1.0
[010111100],-0.9985564487599942
[010111101],-0.9979726537398578
[010111110],1.0
[010111111],-0.9976730846292446
[011000000],-0.9985780949631027
[011000001],-0.999998445402031
[011000010],-0.9910190221639189
[011000011],-0.9999881447525717
[011000100],-0.9982478049541776
[011000101],-0.9999976093629818
[011000110],-0.9977988163000848
[011000111],-0.9999437597852486
[011001000],-0.9999288839041894
[011001001],-0.9999407642916359
[011001010],-0.9994770551366043
[011001011],-0.9999991842299455
[011001100],-0.99975308837981
[011001101],-0.9999986398473862
[011001110],-0.9995153952467262
[011001111],-0.9999987939886369
[011010000],-0.9959163036226116
[011010001],-0.9999975283097009
[011010010],-0.9817643030766448
[011010011],-0.999985729299742
[011010100],-0.9961330878555104
[011010101],-0.9999983176738437
[011010110],-0.994153102289935
[011010111],-0.9999114460149644
[011011000],-0.9995907500461628
[011011001],-0.9998177622123854
[011011010],-0.999434452705413
[011011011],-0.9999995090426103
[011011100],-0.9998620292474686
[011011101],-0.999999050402777
[011011110],-0.9991528111838859
[011011111],-0.9999981195981607
[011100000],-0.46699122977396934
[011100001],-0.9993168409871491
[011100010],1.0
[011100011],1.0
[011100100],-0.5924331355724652
[011100101],-0.9984676869106331
[011100110],-0.848267305311283
[011100111],-0.9979516960641045
[011101000],1.0
[011101001],1.0
[011101010],1.0
[011101011],-0.9993539532009404
[011101100],1.0
[011101101],-0.9994603154018299
[011101110],1.0
[011101111],-0.9981677071360057
[011110000],1.0
[011110001],-0.999075976624321
[011110010],1.0
[011110011],1.0
[011110100],1.0
[011110101],1.0
[011110110],1.0
[011110111],1.0
[011111000],1.0
[011111001],1.0
[011111010],1.0
[011111011],-0.9990501056167365
[011111100],1.0
[011111101],-0.9987618939857923
[011111110],1.0
[011111111],1.0
[100000000],-0.031034883346144966
[100000001],-0.9990714304475518
[100000010],0.7780152496969363
[100000011],-0.6459929280820691
[100000100],0.1807866583023526
[100000101],-0.9779876371319556
[100000110],-0.8743796721501846
[100000111],1.0
[100001000],1.0
[100001001],-0.9975650117731027
[100001010],1.0
[100001011],-0.9971541241729355
[100001100],1.0
[100001101],-0.9988230206956361
[100001110],1.0
[100001111],-0.9992905547017542
[100010000],0.7003992441020038
[100010001],-0.9982822190275298
[100010010],0.74208401000846
[100010011],-0.683278931960879
[100010100],-0.14430654906051685
[100010101],-0.9893656994830798
[100010110],-0.9682279811240667
[100010111],1.0
[100011000],1.0
[100011001],1.0
[100011010],0.5853258078004194
[100011011],-0.950568423186753
[100011100],1.0
[100011101],-0.9980689283412187
[100011110],1.0
[100011111],-0.998870489429308
[100100000],1.0
[100100001],-0.9968033571978837
[100100010],0.6610828013019895
[100100011],-0.9893824842246302
[100100100],1.0
[100100101],-0.9736069518401813
[100100110],1.0
[100100111],1.0
[100101000],1.0
[100101001],1.0
[100101010],1.0
[100101011],-0.36967628264926766
[100101100],1.0
[100101101],1.0
[100101110],1.0
[100101111],1.0
[100110000],0.589832865337953
[100110001],-0.9841519281010882
[100110010],0.5527444305613103
[100110011],1.0
[100110100],-0.37841298007579954
[100110101],-0.9861955395320029
[100110110],1.0
[100110111],1.0
[100111000],1.0
[100111001],1.0
[100111010],0.9144602685155614
[100111011],0.14168636290584616
[100111100],-0.772171013444982
[100111101],1.0
[100111110],1.0
[100111111],1.0
[101000000],-0.9965239047773113
[101000001],-0.9999997777408574
[101000010],-0.992832592619083
[101000011],-0.9999899694643429
[101000100],-0.9959548073390129
[101000101],-0.9999925453905332
[101000110],-0.999660698644609
[101000111],-0.9998275042509441
[101001000],-0.9996893694976087
[101001001],-0.9999101270359355
[101001010],-0.9993086251720373
[101001011],-0.9999979809648558
[101001100],-0.9995794109100175
[101001101],-0.9999996616709823
[101001110],-0.9995614159091496
[101001111],-0.9999993001477557
[101010000],-0.9966472401181102
[101010001],-0.9999996091913721
[101010010],-0.9895970768215123
[101010011],-0.9999797195389568
[101010100],-0.9898530749766579
[101010101],-0.9999873747231836
[101010110],-0.9997692174642339
[101010111],-0.9998934948992491
[101011000],-0.9998886617530905
[101011001],-0.9998794048677393
[101011010],-0.9997732420083627
[101011011],-0.9999989469457765
[101011100],-0.9988899914894434
[101011101],-0.999999781030234
[101011110],-0.9989405650011991
[101011111],-0.9999985545485239
[101100000],-0.5079086267325814
[101100001],-0.9995405446186612
[101100010],1.0
[101100011],-0.9988682237710003
[101100100],-0.07692007411440145
[101100101],-0.9987012872868702
[101100110],-0.9890395524943094
[101100111],1.0
[101101000],1.0
[101101001],1.0
[101101010],1.0
[101101011],-0.9996314250905436
[101101100],1.0
[101101101],-0.9995793544199085
[101101110],1.0
[101101111],-0.999606380052803
[101110000],-0.9334111127674146
[101110001],-0.9980805986118367
[101110010],1.0
[101110011],1.0
[101110100],-0.9419175933405233
[101110101],-0.9947722174826087
[101110110],1.0
[101110111],1.0
[101111000],1.0
[101111001],1.0
[101111010],1.0
[101111011],1.0
[101111100],1.0
[101111101],-0.9987006312343847
[101111110],1.0
[101111111],-0.9993824094916127
[110000000],-0.9970646931683913
[110000001],-0.9999997493066053
[110000010],-0.9904466130421177
[110000011],-0.9999880428268618
[110000100],-0.9962712627959287
[110000101],-0.9999933270242322
[110000110],-0.9996162982322654
[110000111],-0.9998595240110718
[110001000],-0.9997751851536164
[110001001],-0.999842915698574
[110001010],-0.9996467984148255
[110001011],-0.9999983201321792
[110001100],-0.9996150824136633
[110001101],-0.9999994557107065
[110001110],-0.9989945569479391
[110001111],-0.9999986557373775
[110010000],-0.9968401789582167
[110010001],-0.9999996096633422
[110010010],-0.9898255214720025
[110010011],-0.9999781276438461
[110010100],-0.9899840585295445
[110010101],-0.9999887603568619
[110010110],-0.999453715844014
[110010111],-0.999779595864165
[110011000],-0.9998383700954003
[110011001],-0.999895824993522
[110011010],-0.9998253598759668
[110011011],-0.9999988619586557
[110011100],-0.9994946277340709
[110011101],-0.9999997363022223
[110011110],-0.9993431201335288
[110011111],-0.999998330865296
[110100000],-0.6017361816648363
[110100001],-0.9997264984089801
[110100010],1.0
[110100011],1.0
[110100100],-0.4186370796087162
[110100101],-0.9988003739098182
[110100110],1.0
[110100111],1.0
[110101000],1.0
[110101001],1.0
[110101010],1.0
[110101011],-0.9994514846772271
[110101100],1.0
[110101101],-0.9995369481354609
[110101110],1.0
[110101111],-0.999333954993827
[110110000],1.0
[110110001],1.0
[110110010],1.0
[110110011],1.0
[110110100],1.0
[110110101],-0.9954622364564601
[110110110],1.0
[110110111],1.0
[110111000],1.0
[110111001],1.0
[110111010],1.0
[110111011],-0.9992938565512336
[110111100],1.0
[110111101],-0.9991868878442314
[110111110],1.0
[110111111],-0.9980484793366092
[111000000],-0.996813725389331
[111000001],-0.9999998522760768
[111000010],-0.9896988340199551
[111000011],-0.999986937555863
[111000100],-0.9955862306001731
[111000101],-0.9999928330160144
[111000110],-0.9994749995466399
[111000111],-0.9998937956018196
[111001000],-0.999732524863765
[111001001],-0.9997674845161539
[111001010],-0.9995085441289341
[111001011],-0.9999980262477485
[111001100],-0.999686267583566
[111001101],-0.9999996445110205
[111001110],-0.999245293455569
[111001111],-0.9999989123658226
[111010000],-0.9960811646078905
[111010001],-0.9999997094203583
[111010010],-0.9843994643640683
[111010011],-0.999989765624456
[111010100],-0.9908888964269212
[111010101],-0.9999866939998715
[111010110],-0.999759378482648
[111010111],-0.999893946325179
[111011000],-0.9998775340171254
[111011001],-0.9999269501346562
[111011010],-0.9997796105990389
[111011011],-0.9999988995174824
[111011100],-0.999346763702775
[111011101],-0.9999995431788482
[111011110],-0.999377948388972
[111011111],-0.9999988899499328
[111100000],-0.5465509963850737
[111100001],-0.9997606405233211
[111100010],1.0
[111100011],-0.9989528600213401
[111100100],-0.34524498168252027
[111100101],-0.9987340888023982
[111100110],1.0
[111100111],1.0
[111101000],1.0
[111101001],-0.9995076060632893
[111101010],1.0
[111101011],-0.9996008325086692
[111101100],-0.9902218298802649
[111101101],-0.9996990516742218
[111101110],1.0
[111101111],-0.9995969363260968
[111110000],1.0
[111110001],-0.9991091544660519
[111110010],1.0
[111110011],1.0
[111110100],-0.8232793930897383
[111110101],-0.9957594194233401
[111110110],1.0
[111110111],1.0
[111111000],1.0
[111111001],1.0
[111111010],1.0
[111111011],-0.9974357998863094
[111111100],1.0
[111111101],-0.9989839676348358
[111111110],1.0
[111111111],1.0
